Country Name,Country Code,GDP per capita
Aruba,ABW,
Afghanistan,AFG,561.7787463
Angola,AGO,3308.772828
Albania,ALB,4131.872341
Andorra,AND,37231.81567
Arab World,ARB,6151.180927
United Arab Emirates,ARE,38517.80039
Argentina,ARG,12654.355
Armenia,ARM,3605.743117
American Samoa,ASM,11834.74523
Antigua and Barbuda,ATG,14462.17628
Australia,AUS,49896.6811
Austria,AUT,44731.01086
Azerbaijan,AZE,3880.738731
Burundi,BDI,285.7274421
Belgium,BEL,41260.97755
Benin,BEN,788.5324424
Burkina Faso,BFA,613.9931275
Bangladesh,BGD,1358.779029
Bulgaria,BGR,7469.447703
Bahrain,BHR,22560.58127
"Bahamas, The",BHS,30260.30591
Bosnia and Herzegovina,BIH,4808.636043
Belarus,BLR,5022.626643
Belize,BLZ,4960.181794
Bermuda,BMU,
Bolivia,BOL,3117.330459
Brazil,BRA,8639.365743
Barbados,BRB,15891.62655
Brunei Darussalam,BRN,26939.41805
Bhutan,BTN,2773.547135
Botswana,BWA,6954.174306
Central African Republic,CAF,382.0702811
Canada,CAN,42348.94546
Central Europe and the Baltics,CEB,12748.92339
Switzerland,CHE,79866.03187
Channel Islands,CHI,
Chile,CHL,13960.89421
China,CHN,8117.267465
Cote d'Ivoire,CIV,1535.068121
Cameroon,CMR,1374.515899
"Congo, Dem. Rep.",COD,444.4103346
"Congo, Rep.",COG,1528.24472
Colombia,COL,5756.861602
Comoros,COM,775.0800846
Cabo Verde,CPV,3037.525642
Costa Rica,CRI,11732.71055
Caribbean small states,CSS,9355.868253
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,23541.48825
Czech Republic,CZE,18483.71648
Germany,DEU,42232.57421
Djibouti,DJI,1872.234623
Dominica,DMA,7906.721742
Denmark,DNK,53578.75657
Dominican Republic,DOM,6793.538125
Algeria,DZA,3916.881571
East Asia & Pacific (excluding high income),EAP,6579.330827
Early-demographic dividend,EAR,3291.882799
East Asia & Pacific,EAS,9793.32118
Europe & Central Asia (excluding high income),ECA,7122.575846
Europe & Central Asia,ECS,22245.27367
Ecuador,ECU,6018.526868
"Egypt, Arab Rep.",EGY,3479.281246
Euro area,EMU,35038.55124
Eritrea,ERI,
Spain,ESP,26616.7578
Estonia,EST,17736.8027
Ethiopia,ETH,712.87795
European Union,EUU,32259.86726
Fragile and conflict affected situations,FCS,1449.607191
Finland,FIN,43433.03222
Fiji,FJI,5197.50914
France,FRA,36870.21913
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3143.749107
Gabon,GAB,7078.68326
United Kingdom,GBR,40412.03362
Georgia,GEO,3865.785694
Ghana,GHA,1517.495508
Gibraltar,GIB,
Guinea,GIN,748.3013059
"Gambia, The",GMB,472.3064382
Guinea-Bissau,GNB,648.8989366
Equatorial Guinea,GNQ,9217.889528
Greece,GRC,17881.5267
Grenada,GRD,9841.76405
Greenland,GRL,48159.53471
Guatemala,GTM,4140.737635
Guam,GUM,35562.56753
Guyana,GUY,4531.243527
High income,HIC,39675.03736
"Hong Kong SAR, China",HKG,43737.04197
Honduras,HND,2375.096327
Heavily indebted poor countries (HIPC),HPC,875.8707254
Croatia,HRV,12298.57035
Haiti,HTI,734.8025912
Hungary,HUN,12820.0882
IBRD only,IBD,5538.236651
IDA & IBRD total,IBT,4464.060882
IDA total,IDA,1263.262046
IDA blend,IDB,1773.039298
Indonesia,IDN,3570.284615
IDA only,IDX,1006.720479
Isle of Man,IMN,
India,IND,1717.473878
Not classified,INX,
Ireland,IRL,64100.42995
"Iran, Islamic Rep.",IRN,5219.109805
Iraq,IRQ,4609.600694
Iceland,ISL,60529.92676
Israel,ISR,37180.84981
Italy,ITA,30668.98143
Jamaica,JAM,4878.575791
Jordan,JOR,4087.937517
Japan,JPN,38972.34064
Kazakhstan,KAZ,7714.841844
Kenya,KEN,1462.505115
Kyrgyz Republic,KGZ,1120.666513
Cambodia,KHM,1269.907238
Kiribati,KIR,1587.058145
St. Kitts and Nevis,KNA,16596.82657
"Korea, Rep.",KOR,27608.24743
Kuwait,KWT,27368.28668
Latin America & Caribbean (excluding high income),LAC,7583.379431
Lao PDR,LAO,2338.692157
Lebanon,LBN,8257.294391
Liberia,LBR,455.3707414
Libya,LBY,5125.675283
St. Lucia,LCA,9364.821525
Latin America & Caribbean,LCN,8406.715811
Least developed countries: UN classification,LDC,949.2377335
Low income,LIC,702.7504932
Liechtenstein,LIE,
Sri Lanka,LKA,3857.396363
Lower middle income,LMC,2059.584861
Low & middle income,LMY,4299.173841
Lesotho,LSO,1039.703303
Late-demographic dividend,LTE,8155.012927
Lithuania,LTU,14912.68654
Luxembourg,LUX,100738.6842
Latvia,LVA,14070.42265
"Macao SAR, China",MAC,74017.18471
St. Martin (French part),MAF,
Morocco,MAR,2892.775561
Monaco,MCO,
Moldova,MDA,1913.240367
Madagascar,MDG,401.7422654
Maldives,MDV,9871.906911
Middle East & North Africa,MEA,7195.352317
Mexico,MEX,8443.691924
Marshall Islands,MHL,3665.207477
Middle income,MIC,4766.370137
"Macedonia, FYR",MKD,5163.250253
Mali,MLI,779.9448438
Malta,MLT,24770.80657
Myanmar,MMR,1195.515372
Middle East & North Africa (excluding high income),MNA,3865.681055
Montenegro,MNE,7028.940132
Mongolia,MNG,3694.082552
Northern Mariana Islands,MNP,22572.37882
Mozambique,MOZ,382.069457
Mauritania,MRT,1101.901529
Mauritius,MUS,9681.618567
Malawi,MWI,300.3076651
Malaysia,MYS,9508.23775
North America,NAC,56058.64352
Namibia,NAM,4560.70206
New Caledonia,NCL,
Niger,NER,367.9559859
Nigeria,NGA,2175.673442
Nicaragua,NIC,2143.925893
Netherlands,NLD,45637.88675
Norway,NOR,70890.03557
Nepal,NPL,729.1222515
Nauru,NRU,7821.298918
New Zealand,NZL,40331.9591
OECD members,OED,36862.75773
Oman,OMN,15102.38231
Other small states,OSS,12142.24577
Pakistan,PAK,1442.28584
Panama,PAN,14332.97248
Peru,PER,6031.366091
Philippines,PHL,2950.913903
Palau,PLW,14077.09622
Papua New Guinea,PNG,2461.945636
Poland,POL,12415.04329
Pre-demographic dividend,PRE,1372.800997
Puerto Rico,PRI,30833.37247
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,19871.71897
Paraguay,PRY,4077.742071
West Bank and Gaza,PSE,2949.688085
Pacific island small states,PSS,3778.829324
Post-demographic dividend,PST,41039.39856
French Polynesia,PYF,
Qatar,QAT,59324.33877
Romania,ROU,9532.167174
Russian Federation,RUS,8748.368853
Rwanda,RWA,711.1957913
South Asia,SAS,1643.531832
Saudi Arabia,SAU,19982.08563
Sudan,SDN,2415.038162
Senegal,SEN,952.7715367
Singapore,SGP,55243.13288
Solomon Islands,SLB,2056.489935
Sierra Leone,SLE,480.7930211
El Salvador,SLV,3768.837705
San Marino,SMR,47908.56141
Somalia,SOM,471.6199878
Serbia,SRB,5426.198279
Sub-Saharan Africa (excluding high income),SSA,1462.607965
South Sudan,SSD,237.4441185
Sub-Saharan Africa,SSF,1463.853917
Small states,SST,11129.10653
Sao Tome and Principe,STP,1771.987941
Suriname,SUR,5871.442003
Slovak Republic,SVK,16529.54097
Slovenia,SVN,21650.21276
Sweden,SWE,51844.76126
Eswatini,SWZ,2770.199475
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15060.99099
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,651.2372438
East Asia & Pacific (IDA & IBRD countries),TEA,6648.953715
Europe & Central Asia (IDA & IBRD countries),TEC,7611.315282
Togo,TGO,576.9594785
Thailand,THA,5979.293546
Tajikistan,TJK,795.8438644
Turkmenistan,TKM,6389.334143
Latin America & the Caribbean (IDA & IBRD countries),TLA,8260.906649
Timor-Leste,TLS,1987.124857
Middle East & North Africa (IDA & IBRD countries),TMN,3876.512617
Tonga,TON,3748.641794
South Asia (IDA & IBRD),TSA,1643.531832
Sub-Saharan Africa (IDA & IBRD countries),TSS,1463.853917
Trinidad and Tobago,TTO,16352.10973
Tunisia,TUN,3688.646375
Turkey,TUR,10862.72538
Tuvalu,TUV,3295.720635
Tanzania,TZA,877.507612
Uganda,UGA,580.383534
Ukraine,UKR,2185.728031
Upper middle income,UMC,7864.504365
Uruguay,URY,15298.35089
United States,USA,57588.53807
Uzbekistan,UZB,2105.870905
St. Vincent and the Grenadines,VCT,6982.256556
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2170.648054
Vanuatu,VUT,2913.967232
World,WLD,10200.8606
Samoa,WSM,4030.013144
Kosovo,XKX,3697.548026
"Yemen, Rep.",YEM,660.280885
South Africa,ZAF,5280.017633
Zambia,ZMB,1262.989682
Zimbabwe,ZWE,1029.076649
